"","locality","decimalLatitude","decimalLongitude","locationID","tmp_vatnLnr"
"307","Langvatnet",63.1351278206206,9.43129785524652,"NVE:vatnLnr:37786",37786
"308","Rørvatnet",63.1216498040048,9.40778215687707,"NVE:vatnLnr:37818",37818
"309","Lomundsjøen",63.1523172830556,9.41728501999988,"NVE:vatnLnr:37738",37738
"310","Bergemsvatnet",62.9477674718361,8.19554911848046,"NVE:vatnLnr:2148",2148
"311","Gylvatnet",62.9754758641551,8.13779225224997,"NVE:vatnLnr:31116",31116
"312","Flemsetervatnet",62.9207579852339,8.00740682445078,"NVE:vatnLnr:31134",31134
"313","Hostadvatnet",62.9343673313498,7.20264378180239,"NVE:vatnLnr:2008",2008
"314","Øverlandsvatnet",62.7590643797733,7.20546608968781,"NVE:vatnLnr:31234",31234
"315","Bergsvatnet",62.764423287025,7.21291248894546,"NVE:vatnLnr:31231",31231
"316","Bårdsdalsvatnet",62.7739149330257,7.22308474179666,"NVE:vatnLnr:31221",31221
"317","Måsvatnet",62.8061787614049,7.96745811771801,"NVE:vatnLnr:31209",31209
"318","Søråsvatnet",62.628933279337,7.01280233016738,"NVE:vatnLnr:31284",31284
"319","Vassetvatnet",62.4348631148552,6.21057070476924,"NVE:vatnLnr:30905",30905
"320","Brusdalsvatnet",62.4758044770752,6.46872625654147,"NVE:vatnLnr:1982",1982
"321","Andestadvatnet",62.4124503668547,6.66440925809082,"NVE:vatnLnr:31509",31509
"322","Fitjavatnet",62.3194522315398,6.6013197630673,"NVE:vatnLnr:1955",1955
"323","Mevatnet",62.5266036847479,6.81792424555831,"NVE:vatnLnr:31368",31368
"324","Svartløkvatnet",62.5420880070359,6.85267272217216,"NVE:vatnLnr:1981",1981
"325","Akslevollvatnet",62.5145073244409,6.82224698217259,"NVE:vatnLnr:30350",30350
"326","Hallvardsvatnet",62.4468270131721,6.92628736307279,"NVE:vatnLnr:31470",31470
"327","Nysætervatnet",62.5260488118455,6.91958953070949,"NVE:vatnLnr:31372",31372
"328","Skogevatnet",62.2181448894534,5.70542043268069,"NVE:vatnLnr:30957",30957
"329","Klipevatnet",62.2240814865128,5.73332698079928,"NVE:vatnLnr:138334",138334
"330","Stemmedalsvatnet",62.2691025159698,5.76519759412602,"NVE:vatnLnr:30935",30935
